customer_id,propensity_term_deposit,propensity_housing_loan,propensity_personal_loan,age,job,marital,education,balance,housing,loan,y
C100000,0.0864,0.6294,0.1749,58,management,married,tertiary,2143,yes,no,no
C100001,0.0769,0.703,0.1656,44,technician,single,secondary,29,yes,no,no
C100002,0.0771,0.7456,0.1715,33,entrepreneur,married,secondary,2,yes,yes,no
C100003,0.0864,0.796,0.1336,47,blue-collar,married,unknown,1506,yes,no,no
C100004,0.0885,0.5204,0.1087,33,unknown,single,unknown,1,no,no,no
C100005,0.0771,0.6792,0.1708,35,management,married,tertiary,231,yes,no,no
C100006,0.0995,0.6929,0.1546,28,management,single,tertiary,447,yes,yes,no
C100007,0.0864,0.5649,0.1705,42,entrepreneur,divorced,tertiary,2,yes,no,no
C100008,0.0769,0.6598,0.1742,58,retired,married,primary,121,yes,no,no
C100009,0.0995,0.7969,0.1574,43,technician,single,secondary,593,yes,no,no
C100010,0.0995,0.7889,0.1695,41,admin.,divorced,secondary,270,yes,no,no
C100011,0.1161,0.7969,0.1596,29,admin.,single,secondary,390,yes,no,no
C100012,0.0763,0.541,0.1708,53,technician,married,secondary,6,yes,no,no
C100013,0.0764,0.6041,0.1375,58,technician,married,unknown,71,yes,no,no
C100014,0.0864,0.6414,0.1753,57,services,married,secondary,162,yes,no,no
C100015,0.1105,0.6293,0.1695,51,retired,married,primary,229,yes,no,no
C100016,0.0864,0.5564,0.1582,45,admin.,single,unknown,13,yes,no,no
C100017,0.0885,0.7056,0.1742,57,blue-collar,married,primary,52,yes,no,no
C100018,0.0995,0.6287,0.1705,60,retired,married,primary,60,yes,no,no
C100019,0.0771,0.6294,0.1708,33,services,married,secondary,0,yes,no,no
C100020,0.1057,0.8025,0.1749,28,blue-collar,married,secondary,723,yes,yes,no
C100021,0.0864,0.5975,0.1695,56,management,married,tertiary,779,yes,no,no
C100022,0.0769,0.779,0.1645,32,blue-collar,single,primary,23,yes,yes,no
C100023,0.0771,0.7005,0.1784,25,services,married,secondary,50,yes,no,no
C100024,0.0885,0.5418,0.1672,40,retired,married,primary,0,yes,yes,no
C100025,0.0764,0.6708,0.1715,44,admin.,married,secondary,-372,yes,no,no
C100026,0.0885,0.6414,0.1582,39,management,single,tertiary,255,yes,no,no
C100027,0.0885,0.7056,0.1784,52,entrepreneur,married,secondary,113,yes,yes,no
C100028,0.093,0.7969,0.1765,46,management,single,secondary,-246,yes,no,no
C100029,0.093,0.7962,0.1672,36,technician,single,secondary,265,yes,yes,no
C100030,0.1105,0.699,0.1582,57,technician,married,secondary,839,no,yes,no
C100031,0.0885,0.7383,0.1695,49,management,married,tertiary,378,yes,no,no
C100032,0.0769,0.703,0.1749,60,admin.,married,secondary,39,yes,yes,no
C100033,0.0885,0.6279,0.1695,59,blue-collar,married,secondary,0,yes,no,no
C100034,0.0885,0.5649,0.1516,51,management,married,tertiary,10635,yes,no,no
C100035,0.093,0.6598,0.1708,57,technician,divorced,secondary,63,yes,no,no
C100036,0.105,0.6919,0.1753,25,blue-collar,married,secondary,-7,yes,no,no
